SB_UID,SB_UID,EXECBLOCKUID,STARTTIME,ENDTIME,QA0STATUS,SE_STATUS,SE_PROJECT_CODE,SE_ARRAYENTRY_ID,FINALCOMMENTID,COMENT,delta
uid://A001/X144/X142,uid://A001/X144/X142,uid://A002/X929af2/Xb6,2014-11-06 21:53:48.772,2014-11-06 23:26:51.530,SemiPass,SUCCESS,2013.A.00007.T,685772,4853.0,"QA0Fail because it was taken under 10.6, which is not going to be accepted!
QA0plus status: PASS (Cal WVR ~1.mm variable. 24 antennas in use, DV01 as the reference)",1.55076611111
uid://A001/X122/Xee,uid://A001/X122/Xee,uid://A002/X80325b/Xe5f,2014-05-01 02:49:06.911,2014-05-01 04:01:38.919,SemiPass,FAIL,2013.1.01312.S,581523,,,1.20889111111
uid://A001/X11e/X8,uid://A001/X11e/X8,uid://A002/X80325b/Xe60,2014-05-01 02:49:36.198,2014-05-01 04:13:42.872,Pass,SUCCESS,2013.1.00526.S,581509,2338.0,"QA0plus status: PASS ( tsys table regenerated offline, target = 4 
resolution = 0.24 x 0.22 in pa -6.3 
time on target = 39.19 (min) 
peak on image = 5.81 (mJy) 
rms on image = 0.60 (mJy) 
expected se",1.40185388889
uid://A001/X11d/X3,uid://A001/X11d/X3,uid://A002/X8022df/Xb5,2014-04-30 00:02:51.324,2014-04-30 00:26:13.888,SemiPass,FAIL,2013.1.00034.S,580877,,,0.389601111111
uid://A001/X121/Xfd,uid://A001/X121/Xfd,uid://A002/X81f76f/X303,2014-05-17 07:43:23.097,2014-05-17 09:28:43.720,SemiPass,SUCCESS,2013.1.00159.S,591548,2563.0,"QA0plus status: PASS (PWV ~0.3mm, AmplCal used is J1924-292(Last observed 06May14). Tsys shows some scans with higher temperature for all the antennas. Phase delay for DV17 ~45degrees, DA61 ~-60degree",1.75572861111
uid://A001/X11d/X1c,uid://A001/X11d/X1c,uid://A002/X80325b/X3ba,2014-04-30 23:17:47.362,2014-05-01 00:25:53.547,Pass,SUCCESS,2013.1.00952.S,581348,2336.0,"QA0plus status: PASS ( tsys table regenerated offline, target = 2 
resolution = 5.09 x 3.77 in pa 30.9 
time on target = 27.42 (min) 
peak on image = 7.50 (mJy) 
rms on image = 0.31 (mJy) 
expected se",1.13505138889
uid://A001/X11e/X1,uid://A001/X11e/X1,uid://A002/X821133/Xf67,2014-05-18 09:40:53.083,2014-05-18 10:30:47.400,SemiPass,SUCCESS,2013.1.00088.S,592158,,,0.831754722222
uid://A001/X120/X71,uid://A001/X120/X71,uid://A002/X821133/X5a2,2014-05-18 04:26:55.177,2014-05-18 04:29:18.369,Fail,FAIL,2013.1.01366.T,592049,,,0.0397755555556
uid://A001/X120/X70,uid://A001/X120/X70,uid://A002/X821133/X5a4,2014-05-18 04:32:56.713,2014-05-18 04:36:33.895,Fail,FAIL,2013.1.01366.T,592049,,,0.0603283333333
uid://A001/X122/Xee,uid://A001/X122/Xee,uid://A002/X821133/X3a0,2014-05-18 02:45:31.248,2014-05-18 04:04:17.385,Pass,SUCCESS,2013.1.01312.S,592024,2351.0,"QA0plus status: PASS (AmpCal used is Mars, 10 antennas. CM03 higher Trec. Image final peak flux/rms is 14.12mJy/0.46mJy=30.7 ~36min on source)",1.31281583333
uid://A001/X121/Xa5,uid://A001/X121/Xa5,uid://A002/X821133/X428,2014-05-18 03:12:02.045,2014-05-18 03:20:01.424,Fail,FAIL,2013.1.00976.S,591990,,,0.133160833333
uid://A001/X121/Xa5,uid://A001/X121/Xa5,uid://A002/X821133/X4a4,2014-05-18 03:25:47.569,2014-05-18 03:33:43.334,Fail,FAIL,2013.1.00976.S,591990,,,0.132156944444
uid://A001/X11f/Xe,uid://A001/X11f/Xe,uid://A002/X81f76f/X6d6,2014-05-17 09:44:51.218,2014-05-17 10:24:43.487,Pass,FAIL,2013.1.00033.S,591597,2348.0,"QA0plus status: PASS (PWV ~0.4mm, AmplCal used is J2056-4714(Last observed 06May14) 35 antennas. DV09 shows higher Tsys all BBs/XX&YY. Image final peak flux/rms is 6.2mJy/0.06mJy=103.3 ~14min on sourc",0.664519166667
uid://A001/X11f/X46,uid://A001/X11f/X46,uid://A002/X821133/Xd30,2014-05-18 08:20:02.044,2014-05-18 08:31:18.567,Fail,FAIL,2013.1.01194.S,592130,,,0.187923055556
uid://A001/X122/Xee,uid://A001/X122/Xee,uid://A002/X80325b/Xe5e,2014-05-01 02:41:54.479,2014-05-01 02:43:48.192,Fail,FAIL,2013.1.01312.S,581523,,,0.0315869444444
uid://A001/X11f/X48,uid://A001/X11f/X48,uid://A002/X821133/Xded,2014-05-18 08:54:33.207,2014-05-18 09:05:54.435,Fail,FAIL,2013.1.01194.S,592114,,,0.18923
uid://A001/X121/Xfc,uid://A001/X121/Xfc,uid://A002/X804fed/X1c7f,2014-05-02 10:43:32.389,2014-05-02 12:15:31.608,SemiPass,FAIL,2013.1.00159.S,582408,,,1.53311638889
uid://A001/X11f/X71,uid://A001/X11f/X71,uid://A002/X8022df/X791,2014-04-30 03:55:56.274,2014-04-30 05:06:15.896,Pass,SUCCESS,2013.1.00879.S,580945,7014.0,"QA0plus status: PASS (bandpass looks ok, same as flux cal. no RMS report )

TelCal ran offline and new solution are replaced in the Archive. (23Mar15)",1.17211722222
uid://A001/X121/Xa5,uid://A001/X121/Xa5,uid://A002/X80325b/X7d7,2014-05-01 00:58:51.988,2014-05-01 02:21:33.171,SemiPass,SUCCESS,2013.1.00976.S,581423,,,1.37810638889
uid://A001/X121/X14f,uid://A001/X121/X14f,uid://A002/X822d50/Xc32,2014-05-19 04:50:54.445,2014-05-19 05:39:55.401,Pass,SUCCESS,2013.1.00803.S,592593,2312.0,comments on SLT,0.816932222222
uid://A001/X122/X36,uid://A001/X122/X36,uid://A002/X822d50/Xcd0,2014-05-19 05:01:50.483,2014-05-19 05:02:50.381,Fail,FAIL,2013.1.00099.S,592486,,,0.0166383333333
uid://A001/X121/X159,uid://A001/X121/X159,uid://A002/X822d50/Xcf8,2014-05-19 05:05:47.697,2014-05-19 06:18:10.572,Pass,SUCCESS,2013.1.00803.S,592486,2359.0,"QA0plus status: PASS (AmpCal used is Titan, Mosaic ok. 8 antennas, CM03 high Trec BB3/YY. Image final peak flux/rms is 2870.35mJy/179.06mJy=16. ~26min on source)",1.20635416667
uid://A001/X11f/X46,uid://A001/X11f/X46,uid://A002/X821133/Xbb6,2014-05-18 07:22:41.999,2014-05-18 07:34:06.698,Fail,FAIL,2013.1.01194.S,592066,,,0.190194166667
uid://A001/X122/Xee,uid://A001/X122/Xee,uid://A002/X82fd01/X32b,2014-05-31 01:50:50.128,2014-05-31 03:10:29.686,Pass,SUCCESS,2013.1.01312.S,597929,2367.0,"QA0plus status: PASS (AmpCal used is Mars, 11 antennas. Image final peak flux/rms is 12.65mJy/0.73mJy=17.3 ~36min on source )",1.327655
uid://A001/X11f/X2,uid://A001/X11f/X2,uid://A002/X82fd01/X1e2,2014-05-31 00:54:02.725,2014-05-31 01:45:24.353,SemiPass,SUCCESS,2013.1.00518.S,597929,2897.0,"QA0plus status: PASS (AmpCal used is Titan, 11 antennas. Trec CM06 one negative scan BB1/XX, CM09 all negative BB3/YY )",0.856007777778
uid://A001/X12f/X2,uid://A001/X12f/X2,uid://A002/X839000/X1559,2014-06-08 02:08:27.746,2014-06-08 03:25:48.222,Pass,SUCCESS,2013.1.00870.S,602346,,,1.28902111111
uid://A001/X121/Xa5,uid://A001/X121/Xa5,uid://A002/X804fed/X65d,2014-05-02 03:22:37.746,2014-05-02 03:27:13.677,Fail,FAIL,2013.1.00976.S,582105,,,0.0766475
uid://A001/X122/X3a,uid://A001/X122/X3a,uid://A002/X84187d/X3e5d,2014-06-14 22:58:34.222,2014-06-15 00:36:06.501,Pass,SUCCESS,2013.1.00099.S,606324,,,1.62563305556
uid://A001/X121/X1bb,uid://A001/X121/X1bb,uid://A002/X86fcfa/Xf86,2014-07-18 01:21:14.328,2014-07-18 02:45:12.896,Pass,SUCCESS,2013.1.00234.S,622522,779.0,,1.39960222222
uid://A001/X122/X502,uid://A001/X122/X502,uid://A002/X837c61/X18f5,2014-06-07 11:09:49.661,2014-06-07 11:09:54.131,Fail,FAIL,2013.1.00351.S,601889,,,0.00124166666667
uid://A001/X122/X346,uid://A001/X122/X346,uid://A002/X837c61/X18f6,2014-06-07 11:13:34.665,2014-06-07 12:20:07.435,Pass,SUCCESS,2013.1.00162.S,601943,,,1.10910277778
uid://A001/X121/X468,uid://A001/X121/X468,uid://A002/X877956/Xc9e,2014-07-22 08:09:24.749,2014-07-22 09:33:57.662,Pass,SUCCESS,2013.1.01271.S,624738,846.0,"QA0plus status: PASS
Refant: DA59
Amplitude Cal = J2357-5311
Notes from plots:

primary beam FWHM  =  26.65 (arcsec)
resolution =  0.64 x 0.41 in pa   87.4
time on target =  45.72 (min)
peak on image ",1.4091425
uid://A001/X11e/X23,uid://A001/X11e/X23,uid://A002/X804fed/X1760,2014-05-02 09:06:01.977,2014-05-02 09:32:12.413,SemiPass,SUCCESS,2013.1.00170.S,582333,2492.0,"QA0plus status: PASS (AmplCal used is J1613-586(Last observed 26Abr14), 17 antennas, Tsys higher for several antennas. Image final peak flux/rms is 7.55mJy/2.69mJy=2.8 ~7min on source)",0.436232222222
uid://A001/X12a/X224,uid://A001/X12a/X224,uid://A002/X835ef6/X5ce,2014-06-05 10:23:33.942,2014-06-05 11:20:14.946,Pass,SUCCESS,2013.1.01329.S,600860,,,0.944723333333
uid://A001/X122/X15a,uid://A001/X122/X15a,uid://A002/X856bb8/X28cd,2014-06-29 05:33:41.568,2014-06-29 06:38:31.823,SemiPass,FAIL,2013.1.01058.S,613482,1337.0,,1.08062638889
uid://A001/X121/X2a8,uid://A001/X121/X2a8,uid://A002/X856bb8/X28dd,2014-06-29 05:38:55.610,2014-06-29 07:03:09.812,Pass,SUCCESS,2013.1.00366.S,613513,,,1.403945
uid://A001/X11f/X73,uid://A001/X11f/X73,uid://A002/X804fed/X1943,2014-05-02 09:34:52.061,2014-05-02 10:17:32.950,SemiPass,SUCCESS,2013.1.00879.S,582333,,,0.711358055556
uid://A001/X13a/X2,uid://A001/X13a/X2,uid://A002/X856bb8/X44c7,2014-06-29 17:14:40.898,2014-06-29 18:26:41.184,Pass,SUCCESS,2013.1.01061.S,613771,,,1.20007944444
uid://A001/X12f/X9b,uid://A001/X12f/X9b,uid://A002/X837c61/X13eb,2014-06-07 08:14:59.029,2014-06-07 09:42:25.269,Pass,SUCCESS,2013.1.01365.S,601889,,,1.45728888889
uid://A001/X12f/X9b,uid://A001/X12f/X9b,uid://A002/X83dbe6/X14ed,2014-06-11 08:17:02.726,2014-06-11 09:44:45.184,Pass,SUCCESS,2013.1.01365.S,604363,,,1.46179388889
uid://A001/X12f/X9b,uid://A001/X12f/X9b,uid://A002/X837c61/Xbed,2014-06-07 04:45:11.212,2014-06-07 06:13:01.943,Pass,FAIL,2013.1.01365.S,601846,,,1.46409194444
uid://A001/X12c/X13f,uid://A001/X12c/X13f,uid://A002/X837c61/Xbf4,2014-06-07 04:48:13.778,2014-06-07 05:05:18.269,Fail,FAIL,2013.1.01102.S,601850,,,0.284580833333
uid://A001/X121/X2ae,uid://A001/X121/X2ae,uid://A002/X83f101/X1a0d,2014-06-12 10:03:20.709,2014-06-12 11:24:15.079,Pass,SUCCESS,2013.1.00659.S,604801,,,1.34843611111
uid://A001/X12f/X9b,uid://A001/X12f/X9b,uid://A002/X83f101/Xb39,2014-06-12 03:27:17.354,2014-06-12 03:46:16.600,Fail,FAIL,2013.1.01365.S,604749,,,0.316457222222
uid://A001/X12c/X13f,uid://A001/X12c/X13f,uid://A002/X83f101/Xb3a,2014-06-12 03:29:01.522,2014-06-12 04:33:14.007,Pass,SUCCESS,2013.1.01102.S,604801,,,1.07013472222
uid://A001/X122/X34d,uid://A001/X122/X34d,uid://A002/X822d50/X140b,2014-05-19 08:22:10.422,2014-05-19 08:49:42.553,SemiPass,FAIL,2013.1.00663.S,592668,,,0.458925277778
uid://A001/X121/X470,uid://A001/X121/X470,uid://A002/X85438c/X750,2014-06-27 03:05:32.212,2014-06-27 03:05:32.212,SemiPass,FAIL,2013.1.00481.S,612431,,,0.0
uid://A001/X122/X87,uid://A001/X122/X87,uid://A002/X8440e0/Xc72,2014-06-15 10:17:42.427,2014-06-15 11:36:51.418,Pass,SUCCESS,2013.1.00047.S,606513,,,1.31916416667
uid://A001/X12b/X204,uid://A001/X12b/X204,uid://A002/X847097/X1855,2014-06-17 10:44:46.688,2014-06-17 11:11:52.810,SemiPass,SUCCESS,2013.1.01057.S,607650,13279.0,,0.451700555556
uid://A001/X122/X515,uid://A001/X122/X515,uid://A002/X836a4d/Xc23,2014-06-06 07:01:42.168,2014-06-06 07:35:40.330,Pass,SUCCESS,2013.1.00020.S,601279,,,0.566156111111
uid://A001/X122/X502,uid://A001/X122/X502,uid://A002/X837c61/X1a07,2014-06-07 11:55:45.028,2014-06-07 12:00:39.824,Fail,FAIL,2013.1.00351.S,602004,,,0.0818877777778
uid://A001/X12f/X2b7,uid://A001/X12f/X2b7,uid://A002/X85c183/X1b18,2014-07-02 08:43:01.699,2014-07-02 08:47:59.633,Fail,FAIL,2013.1.00532.S,614881,,,0.0827594444444
uid://A001/X121/X1ee,uid://A001/X121/X1ee,uid://A002/X85c183/X1b1c,2014-07-02 08:45:09.789,2014-07-02 09:11:22.824,Pass,SUCCESS,2013.1.00449.S,614932,,,0.436954166667
uid://A001/X120/Xd0,uid://A001/X120/Xd0,uid://A002/X835491/X6e,2014-06-04 05:16:46.102,2014-06-04 06:32:35.821,Pass,SUCCESS,2013.1.00278.S,600178,,,1.26381083333
uid://A001/X12c/X13f,uid://A001/X12c/X13f,uid://A002/X835491/X6f,2014-06-04 05:18:25.504,2014-06-04 05:37:09.609,Fail,FAIL,2013.1.01102.S,600180,,,0.312251388889
uid://A001/X12f/X84,uid://A001/X12f/X84,uid://A002/X8358e4/X90b,2014-06-05 03:47:34.123,2014-06-05 03:47:46.105,Fail,FAIL,2013.1.00327.S,600678,,,0.00332833333333
uid://A001/X12e/X1cb,uid://A001/X12e/X1cb,uid://A002/X856bb8/X3d0c,2014-06-29 14:05:09.911,2014-06-29 15:27:20.152,Pass,SUCCESS,2013.1.00191.S,613655,,,1.36951138889
uid://A001/X122/Xee,uid://A001/X122/Xee,uid://A002/X80325b/X13d5,2014-05-01 04:13:13.571,2014-05-01 05:33:17.835,SemiPass,SUCCESS,2013.1.01312.S,581523,,,1.33451777778
uid://A001/X12e/X1cd,uid://A001/X12e/X1cd,uid://A002/X855419/X1308,2014-06-28 08:25:42.884,2014-06-28 09:38:45.557,Pass,SUCCESS,2013.1.00191.S,612863,,,1.21740916667
uid://A001/X11d/X1c,uid://A001/X11d/X1c,uid://A002/X80325b/X264,2014-04-30 22:34:11.682,2014-04-30 22:53:53.068,Fail,FAIL,2013.1.00952.S,581348,,,0.328162777778
uid://A001/X121/X152,uid://A001/X121/X152,uid://A002/X836a4d/Xa5,2014-06-06 01:20:57.471,2014-06-06 01:40:46.762,Fail,FAIL,2013.1.00803.S,601217,,,0.330358611111
uid://A001/X121/X152,uid://A001/X121/X152,uid://A002/X822d50/X43e,2014-05-19 01:45:46.611,2014-05-19 02:54:36.440,Pass,SUCCESS,2013.1.00803.S,592486,2355.0,"QA0plus status: PASS (AmpCal used is Ceres, 8 antennas.Mosaic ok. CM09 higher Trec BB3/YY. Image final peak flux/rms is 3825.77mJy/52.52mJy=72.8 ~23min on source )",1.14717472222
uid://A001/X122/X15a,uid://A001/X122/X15a,uid://A002/X83b318/X50,2014-06-09 03:30:52.803,2014-06-09 04:00:56.637,Fail,FAIL,2013.1.01058.S,602986,,,0.501065
