Year      Month  Day    Hour  PWV
2011      1      1      0     NaN
2011      1      1      3     0.651
2011      1      1      6     0.589
2011      1      1      9     0.291
2011      1      1     12     0.231
2011      1      1     15     NaN
2011      1      1     18     NaN
2011      1      1     21     2.309
2011      1      2      0     3.005
2011      1      2      3     0.815
2011      1      2      6     0.657
2011      1      2      9     0.551
2011      1      2     12     0.404
2011      1      2     15     0.858
2011      1      2     18     1.447
2011      1      2     21     1.901
2011      1      3      0     2.546
2011      1      3      3     1.394
2011      1      3      6     0.757
2011      1      3      9     0.706
2011      1      3     12     0.270
2011      1      3     15     1.051
2011      1      3     18     1.222
2011      1      3     21     1.025
2011      1      4      0     2.583
2011      1      4      3     0.713
2011      1      4      6     0.475
2011      1      4      9     0.591
2011      1      4     12     0.592
2011      1      4     15     0.893
2011      1      4     18     NaN
2011      1      4     21     1.397
2011      1      5      0     1.542
2011      1      5      3     0.313
2011      1      5      6     0.214
2011      1      5      9     NaN
2011      1      5     12     0.195
2011      1      5     15     0.622
2011      1      5     18     NaN
2011      1      5     21     1.785
2011      1      6      0     1.334
2011      1      6      3     0.328
2011      1      6      6     0.232
2011      1      6      9     0.234
2011      1      6     12     0.288
2011      1      6     15     NaN
2011      1      6     18     NaN
2011      1      6     21     NaN
2011      1      7      0     2.036
2011      1      7      3     0.503
2011      1      7      6     0.427
2011      1      7      9     0.404
2011      1      7     12     0.396
2011      1      7     15     0.616
2011      1      7     18     1.417
2011      1      7     21     1.637
2011      1      8      0     1.203
2011      1      8      3     0.783
2011      1      8      6     0.607
2011      1      8      9     0.551
2011      1      8     12     0.600
2011      1      8     15     0.855
2011      1      8     18     1.929
2011      1      8     21     2.275
2011      1      9      0     3.368
2011      1      9      3     2.374
2011      1      9      6     2.542
2011      1      9      9     2.395
2011      1      9     12     3.101
2011      1      9     15     3.445
2011      1      9     18     3.551
2011      1      9     21     4.382
2011      1     10      0     3.914
2011      1     10      3     2.252
2011      1     10      6     1.943
2011      1     10      9     1.833
2011      1     10     12     1.859
2011      1     10     15     2.130
2011      1     10     18     1.391
2011      1     10     21     2.474
2011      1     11      0     2.777
2011      1     11      3     1.850
2011      1     11      6     1.547
2011      1     11      9     1.308
2011      1     11     12     1.034
2011      1     11     15     0.975
2011      1     11     18     1.444
2011      1     11     21     1.263
2011      1     12      0     1.942
2011      1     12      3     1.173
2011      1     12      6     1.373
2011      1     12      9     0.850
2011      1     12     12     0.825
2011      1     12     15     1.456
2011      1     12     18     1.723
2011      1     12     21     2.628
2011      1     13      0     3.083
2011      1     13      3     0.946
2011      1     13      6     0.564
2011      1     13      9     0.338
2011      1     13     12     0.344
2011      1     13     15     1.512
2011      1     13     18     1.707
2011      1     13     21     2.500
2011      1     14      0     NaN
2011      1     14      3     1.624
2011      1     14      6     1.405
2011      1     14      9     1.313
2011      1     14     12     1.441
2011      1     14     15     3.171
2011      1     14     18     NaN
2011      1     14     21     NaN
2011      1     15      0     2.789
2011      1     15      3     0.518
2011      1     15      6     0.406
2011      1     15      9     0.346
2011      1     15     12     0.549
2011      1     15     15     0.807
2011      1     15     18     1.535
2011      1     15     21     2.998
2011      1     16      0     3.118
2011      1     16      3     1.767
2011      1     16      6     1.308
2011      1     16      9     0.781
2011      1     16     12     0.833
2011      1     16     15     1.252
2011      1     16     18     2.158
2011      1     16     21     1.708
2011      1     17      0     2.051
2011      1     17      3     0.759
2011      1     17      6     0.493
2011      1     17      9     0.286
2011      1     17     12     0.321
2011      1     17     15     0.462
2011      1     17     18     1.372
2011      1     17     21     1.267
2011      1     18      0     1.533
2011      1     18      3     0.577
2011      1     18      6     0.768
2011      1     18      9     1.057
2011      1     18     12     0.670
2011      1     18     15     2.410
2011      1     18     18     1.648
2011      1     18     21     2.742
2011      1     19      0     2.682
2011      1     19      3     2.043
2011      1     19      6     1.682
2011      1     19      9     1.204
2011      1     19     12     0.854
2011      1     19     15     1.431
2011      1     19     18     1.953
2011      1     19     21     1.626
2011      1     20      0     1.757
2011      1     20      3     1.033
2011      1     20      6     1.795
2011      1     20      9     2.003
2011      1     20     12     1.990
2011      1     20     15     1.767
2011      1     20     18     1.641
2011      1     20     21     1.815
2011      1     21      0     1.740
2011      1     21      3     1.049
2011      1     21      6     1.122
2011      1     21      9     1.031
2011      1     21     12     0.958
2011      1     21     15     NaN
2011      1     21     18     NaN
2011      1     21     21     NaN
2011      1     22      0     NaN
2011      1     22      3     NaN
2011      1     22      6     NaN
2011      1     22      9     NaN
2011      1     22     12     NaN
2011      1     22     15     NaN
2011      1     22     18     3.494
2011      1     22     21     3.732
2011      1     23      0     3.102
2011      1     23      3     NaN
2011      1     23      6     NaN
2011      1     23      9     NaN
2011      1     23     12     NaN
2011      1     23     15     NaN
2011      1     23     18     NaN
2011      1     23     21     NaN
2011      1     24      0     10.937
2011      1     24      3     8.255
2011      1     24      6     9.181
2011      1     24      9     NaN
2011      1     24     12     NaN
2011      1     24     15     10.048
2011      1     24     18     NaN
2011      1     24     21     NaN
2011      1     25      0     NaN
