TARG_ID,TARG_ID,OBSPROJECT_UID,SG_ID,tarType,solarSystem,sourceName,RA,DEC,isMosaic,isRect,PA,rect_width,rect_height,centerVel,centerVel_units,centerVel_refsys,centerVel_doppler,lineWidth
uid://A001/X10f/X3d1_01_1,uid://A001/X10f/X3d1_01_1,uid://A001/X10f/X3d1,uid://A001/X10f/X3d1_01,F_MultiplePoints,Unspecified,P1,266.54117758170815,-28.701430550062838,True,False,0,0,0,,,,,0.005912469361465706
uid://A001/X10f/X3d1_02_1,uid://A001/X10f/X3d1_02_1,uid://A001/X10f/X3d1,uid://A001/X10f/X3d1_02,F_MultiplePoints,Unspecified,P1,266.541175,-28.701430555555554,True,False,0,0,0,,,,,0.006215445523614633
uid://A001/X10f/X8cf_01_1,uid://A001/X10f/X8cf_01_1,uid://A001/X10f/X8cf,uid://A001/X10f/X8cf_01,F_MultiplePoints,Unspecified,hd141569,237.49061605,-3.92120638,True,False,0,0,0,,,,,0.0018196382681366534
uid://A001/X10f/X8cf_02_1,uid://A001/X10f/X8cf_02_1,uid://A001/X10f/X8cf,uid://A001/X10f/X8cf_02,F_MultiplePoints,Unspecified,hd141569,237.49061605,-3.92120638,True,False,0,0,0,,,,,0.00576740253320073
uid://A001/X10c/X78_01_1,uid://A001/X10c/X78_01_1,uid://A001/X10c/X78,uid://A001/X10c/X78_01,F_SingleRectangle,Unspecified,NGC1068,40.669879,-0.013289,True,True,-1.0560435465796834e-15,25.0,25.000000291431853,,,,,0.2786437537008006
uid://A001/X10c/X78_02_1,uid://A001/X10c/X78_02_1,uid://A001/X10c/X78,uid://A001/X10c/X78_02,F_SingleRectangle,Unspecified,NGC1068,40.669879,-0.013289,True,True,0.0,25.0,25.0,,,,,0.22218424785513557
uid://A001/X10e/X2ba_01_1,uid://A001/X10e/X2ba_01_1,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_01,F_MultiplePoints,Unspecified,SGP2_25,13.031454166666666,-29.29727111111111,False,False,0,0,0,,,,,0.4021105142081992
uid://A001/X10e/X2ba_01_2,uid://A001/X10e/X2ba_01_2,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_01,F_MultiplePoints,Unspecified,SGP4_39,14.787,-27.85686111111111,False,False,0,0,0,,,,,0.40211051420819915
uid://A001/X10e/X2ba_01_3,uid://A001/X10e/X2ba_01_3,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_01,F_MultiplePoints,Unspecified,SGP2_11,13.160291666666666,-28.853583333333333,False,False,0,0,0,,,,,0.38751779378974094
uid://A001/X10e/X2ba_02_1,uid://A001/X10e/X2ba_02_1,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_02,F_MultiplePoints,Unspecified,MZZ_1558,48.7145,-54.954027777777775,False,False,0,0,0,,,,,0.4076539214781546
uid://A001/X10e/X2ba_02_2,uid://A001/X10e/X2ba_02_2,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_02,F_MultiplePoints,Unspecified,MZZ_9744,48.409708333333334,-55.360277777777775,False,False,0,0,0,,,,,0.4076539214781546
uid://A001/X10e/X2ba_02_3,uid://A001/X10e/X2ba_02_3,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_02,F_MultiplePoints,Unspecified,MZZ_9592,48.520583333333335,-55.34747222222222,False,False,0,0,0,,,,,0.4076539253266576
uid://A001/X10e/X2ba_03_1,uid://A001/X10e/X2ba_03_1,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_03,F_MultiplePoints,Unspecified,SGP3_39,13.930875,-28.402694444444446,False,False,0,0,0,,,,,0.38908669195834616
uid://A001/X10e/X2ba_03_2,uid://A001/X10e/X2ba_03_2,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_03,F_MultiplePoints,Unspecified,SGP2_36,12.809666666666667,-29.088805555555556,False,False,0,0,0,,,,,0.39627436602448096
uid://A001/X10e/X2ba_04_1,uid://A001/X10e/X2ba_04_1,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_04,F_MultiplePoints,Unspecified,MZZ_4935,49.151041666666664,-55.158972222222225,False,False,0,0,0,,,,,0.4009919832299635
uid://A001/X10e/X2ba_04_2,uid://A001/X10e/X2ba_04_2,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_04,F_MultiplePoints,Unspecified,MZZ_11408,48.89208333333333,-55.501333333333335,False,False,0,0,0,,,,,0.4009919832299636
uid://A001/X10e/X2ba_05_1,uid://A001/X10e/X2ba_05_1,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_05,F_MultiplePoints,Unspecified,SGP2_36,12.809666666666667,-29.088805555555556,False,False,0,0,0,,,,,0.39627436602448096
uid://A001/X10e/X2ba_06_1,uid://A001/X10e/X2ba_06_1,uid://A001/X10e/X2ba,uid://A001/X10e/X2ba_06,F_MultiplePoints,Unspecified,SGP3_39,13.930875,-28.402694444444446,False,False,0,0,0,,,,,0.38908669195834616
uid://A001/X10e/X8e5_01_1,uid://A001/X10e/X8e5_01_1,uid://A001/X10e/X8e5,uid://A001/X10e/X8e5_01,F_MultiplePoints,Unspecified,MS_0451.6-0305,73.5498580246475,-3.0179999977326912,True,False,0,0,0,,,,,0.0
uid://A001/X10e/X133_01_1,uid://A001/X10e/X133_01_1,uid://A001/X10e/X133,uid://A001/X10e/X133_01,F_MultiplePoints,Unspecified,MSDM_80+3,150.12672083333334,2.287447222222222,False,False,0,0,0,,,,,0.2830468136726776
uid://A001/X10e/X133_02_1,uid://A001/X10e/X133_02_1,uid://A001/X10e/X133,uid://A001/X10e/X133_02,F_MultiplePoints,Unspecified,MSDM_80+3,230.74125,-0.12688888888888888,False,False,0,0,0,,,,,0.2824138478679756
uid://A001/X10e/X133_03_1,uid://A001/X10e/X133_03_1,uid://A001/X10e/X133,uid://A001/X10e/X133_03,F_MultiplePoints,Unspecified,MSDM_80+3,231.03716666666668,-0.17869722222222223,False,False,0,0,0,,,,,0.28419816671483245
uid://A001/X10a/Xc9_01_1,uid://A001/X10a/Xc9_01_1,uid://A001/X10a/Xc9,uid://A001/X10a/Xc9_01,F_MultiplePoints,Unspecified,HBC722,314.57095833333335,43.89538888888889,True,False,0,0,0,,,,,0.0
uid://A001/X10f/X493_01_1,uid://A001/X10f/X493_01_1,uid://A001/X10f/X493,uid://A001/X10f/X493_01,F_MultiplePoints,Unspecified,IRAM01491+1522,65.50170833333334,15.505888888888888,True,False,0,0,0,,,,,0.0007323577414951882
uid://A001/X10f/X493_02_1,uid://A001/X10f/X493_02_1,uid://A001/X10f/X493,uid://A001/X10f/X493_02,F_MultiplePoints,Unspecified,IRAM04191+1522,65.50170833303301,15.50588888904203,True,False,0,0,0,,,,,0.0011899112158614705
uid://A001/X10f/X493_03_1,uid://A001/X10f/X493_03_1,uid://A001/X10f/X493,uid://A001/X10f/X493_03,F_MultiplePoints,Unspecified,CB68,254.33179166666667,-16.1565,True,False,0,0,0,,,,,0.0007323610394567133
uid://A001/X10f/X493_04_1,uid://A001/X10f/X493_04_1,uid://A001/X10f/X493,uid://A001/X10f/X493_04,F_MultiplePoints,Unspecified,CB68,254.33179166689956,-16.156500000097463,False,False,0,0,0,,,,,0.0023798331485657786
uid://A001/X10f/X493_05_1,uid://A001/X10f/X493_05_1,uid://A001/X10f/X493,uid://A001/X10f/X493_05,F_MultiplePoints,Unspecified,CB130-1,274.06829166666665,-2.5438055555555557,True,False,0,0,0,,,,,0.0007323547366857987
uid://A001/X10f/X493_06_1,uid://A001/X10f/X493_06_1,uid://A001/X10f/X493,uid://A001/X10f/X493_06,F_MultiplePoints,Unspecified,CB130-1,274.06829166666665,-2.5438055555555557,True,False,0,0,0,,,,,0.002379812667488356
uid://A001/X10f/X493_07_1,uid://A001/X10f/X493_07_1,uid://A001/X10f/X493,uid://A001/X10f/X493_07,F_MultiplePoints,Unspecified,L673-7,290.39508333333333,11.3565,True,False,0,0,0,,,,,0.0007323554939954823
uid://A001/X10f/X493_08_1,uid://A001/X10f/X493_08_1,uid://A001/X10f/X493,uid://A001/X10f/X493_08,F_MultiplePoints,Unspecified,L673-7,290.39508333333333,11.3565,True,False,0,0,0,,,,,0.0011899075641965036
uid://A001/X10f/Xc4_01_1,uid://A001/X10f/Xc4_01_1,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_01,F_MultiplePoints,Unspecified,IC_4296,204.162721,-33.965917,True,False,0,0,0,,,,,0.3014682369717552
uid://A001/X10f/Xc4_02_1,uid://A001/X10f/Xc4_02_1,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_02,F_MultiplePoints,Unspecified,NGC_1332,51.572171,-21.335369,True,False,0,0,0,,,,,0.3035185518848579
uid://A001/X10f/Xc4_03_1,uid://A001/X10f/Xc4_03_1,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_03,F_MultiplePoints,Unspecified,NGC_1380,54.114958,-34.9763,True,False,0,0,0,,,,,0.3009899353456252
uid://A001/X10f/Xc4_04_1,uid://A001/X10f/Xc4_04_1,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_04,F_MultiplePoints,Unspecified,NGC_3258,157.223283,-35.60555,True,False,0,0,0,,,,,0.3000666203981629
uid://A001/X10f/Xc4_04_2,uid://A001/X10f/Xc4_04_2,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_04,F_MultiplePoints,Unspecified,NGC_3268,157.502729,-35.325508,True,False,0,0,0,,,,,0.3024110503401669
uid://A001/X10f/Xc4_05_1,uid://A001/X10f/Xc4_05_1,uid://A001/X10f/Xc4,uid://A001/X10f/Xc4_05,F_MultiplePoints,Unspecified,NGC_6861,301.831175,-48.370261,True,False,0,0,0,,,,,0.3000355909893084
uid://A001/X112/X490_01_1,uid://A001/X112/X490_01_1,uid://A001/X112/X490,uid://A001/X112/X490_01,F_MultiplePoints,Unspecified,3FGL_J0214.7-5823,33.54266666666667,-58.36922222222222,True,False,0,0,0,,,,,0.0
